Rownum,ItemIdent,target,TargetSoundfile,tword,prime,PrimeSoundfile,ptype,pword,Sequence,Condition,Group
200,F170,krasio,krasio.wav,word,vezao,vezao.wav,F,word,2N,Filler,2
201,F171,brinuo,brinuo.wav,word,cimao,cimao.wav,F,word,3N,Filler,2
202,F172,chudao,chudao.wav,nonword,bejao,bejao.wav,F,nonword,1N,Filler,2
203,F173,nestajao,nestajao.wav,word,bosio,bosio.wav,F,nonword,2N,Filler,2
204,F174,vezivao,vezivao.wav,word,negirao,negirao.wav,F,word,3N,Filler,2
205,F175,beravio,beravio.wav,nonword,tezhio,tezhio.wav,F,word,1N,Filler,2
206,F176,roshio,roshio.wav,nonword,ginuo,ginuo.wav,F,word,2N,Filler,2
207,F177,teretio,teretio.wav,word,ksenuo,ksenuo.wav,F,nonword,3N,Filler,2
208,F178,nagurio,nagurio.wav,nonword,vlasirao,vlasirao.wav,F,nonword,1N,Filler,2
209,F179,sucao,sucao.wav,nonword,chachkao,chachkao.wav,F,word,2N,Filler,2
210,F180,bekao,bekao.wav,nonword,pukao,pukao.wav,F,word,3N,Filler,2
211,F181,lipio,lipio.wav,nonword,bisao,bisao.wav,F,nonword,1N,Filler,2
212,F182,hladio,hladio.wav,word,tretirao,tretirao.wav,F,word,2N,Filler,2
213,F183,bazirao,bazirao.wav,word,dezio,dezio.wav,F,nonword,3N,Filler,2
214,F184,zvuchao,zvuchao.wav,word,kuvao,kuvao.wav,F,word,1N,Filler,2
215,F185,buzhao,buzhao.wav,nonword,odvojio,odvojio.wav,F,word,2N,Filler,2
216,F186,leteo,leteo.wav,word,pretio,pretio.wav,F,word,3N,Filler,2
217,F187,ispalio,ispalio.wav,word,kruvio,kruvio.wav,F,nonword,1N,Filler,2
218,F188,izgudjao,izgudjao.wav,nonword,svedochio,svedochio.wav,F,word,2N,Filler,2
219,F189,sratio,sratio.wav,nonword,snimio,snimio.wav,F,word,3N,Filler,2
220,F190,obratjao,obratjao.wav,word,spremio,spremio.wav,F,word,1N,Filler,2
221,F191,ulagao,ulagao.wav,word,shteleo,shteleo.wav,F,nonword,2N,Filler,2
222,F192,forsidao,forsidao.wav,nonword,nerkirao,nerkirao.wav,F,nonword,3N,Filler,2
223,F193,stradao,stradao.wav,word,kreisao,kreisao.wav,F,nonword,1N,Filler,2
224,F194,rozhio,rozhio.wav,nonword,obetjao,obetjao.wav,F,word,2N,Filler,2
225,F195,lidjao,lidjao.wav,nonword,pamio,pamio.wav,F,nonword,3N,Filler,2
226,F196,lupio,lupio.wav,word,nepirao,nepirao.wav,F,nonword,1N,Filler,2
227,F197,blakirao,blakirao.wav,nonword,disao,disao.wav,F,word,2N,Filler,2
228,F198,bistio,bistio.wav,nonword,dirao,dirao.wav,F,word,3N,Filler,2
1,C1,radio,radio.wav,word,iskochio,iskochio.wav,C,word,1Y,Exp,3
2,C2,dao,dao.wav,word,nadao,nadao.wav,PM,word,2Y,Exp,3
3,C3,bavio,bavio.wav,word,labavio,labavio.wav,P,word,3Y,Exp,3
4,C4,mogao,mogao.wav,word,domogao,domogao.wav,PM,word,1Y,Exp,3
5,C5,ishao,ishao.wav,word,naishao,naishao.wav,PM,word,2Y,Exp,3
6,C6,znao,znao.wav,word,izborio,izborio.wav,C,word,3Y,Exp,3
7,C7,bacio,bacio.wav,word,podbacio,podbacio.wav,M,word,1Y,Exp,3
8,C8,pio,pio.wav,word,zakrpio,zakrpio.wav,P,word,2Y,Exp,3
9,C9,sisao,sisao.wav,word,omogutjio,omogutjio.wav,C,word,3Y,Exp,3
10,C10,pisao,pisao.wav,word,dopisao,dopisao.wav,MS,word,1Y,Exp,3
11,C11,mislio,mislio.wav,word,izmislio,izmislio.wav,M,word,2Y,Exp,3
12,C12,digao,digao.wav,word,otvarao,otvarao.wav,C,word,3Y,Exp,3
13,C13,stigao,stigao.wav,word,pomagao,pomagao.wav,C,word,1Y,Exp,3
14,C14,voleo,voleo.wav,word,zavoleo,zavoleo.wav,MS,word,2Y,Exp,3
15,C15,nashao,nashao.wav,word,zabranio,zabranio.wav,C,word,3Y,Exp,3
16,C16,kuupio,kuupio.wav,word,sakupio,sakupio.wav,PM,word,1Y,Exp,3
17,C17,dobio,dobio.wav,word,pridobio,pridobio.wav,M,word,2Y,Exp,3
18,C18,stao,stao.wav,word,zastao,zastao.wav,MS,word,3Y,Exp,3
19,C19,chinio,chinio.wav,word,uchinio,uchinio.wav,MS,word,1Y,Exp,3
20,C20,krao,krao.wav,word,prikrao,prikrao.wav,M,word,2Y,Exp,3
21,C21,vodio,vodio.wav,word,boravio,boravio.wav,C,word,3Y,Exp,3
22,C22,vratio,vratio.wav,word,prevario,prevario.wav,C,word,1Y,Exp,3
23,C23,ticao,ticao.wav,word,ispravio,ispravio.wav,C,word,2Y,Exp,3
24,C24,luchio,luchio.wav,word,kuluchio,kuluchio.wav,P,word,3Y,Exp,3
25,C25,stavio,stavio.wav,word,prekucao,prekucao.wav,C,word,1Y,Exp,3
26,C26,umeo,umeo.wav,word,izumeo,izumeo.wav,M,word,2Y,Exp,3
27,C27,varao,varao.wav,word,ogovarao,ogovarao.wav,P,word,3Y,Exp,3
28,C28,slao,slao.wav,word,poslao,poslao.wav,MS,word,1Y,Exp,3
29,C29,imao,imao.wav,word,nadimao,nadimao.wav,PM,word,2Y,Exp,3
30,C30,odao,odao.wav,word,navodao,navodao.wav,P,word,3Y,Exp,3
31,F1,kestao,kestao.wav,nonword,trebao,trebao.wav,F,word,1N,Filler,3
32,F2,ispridao,ispridao.wav,nonword,video,video.wav,F,word,2N,Filler,3
33,F3,roshavao,roshavao.wav,nonword,guglovao,guglovao.wav,F,word,3N,Filler,3
34,F4,monsirao,monsirao.wav,nonword,dirao,dirao.wav,F,word,1N,Filler,3
35,F5,koristio,koristio.wav,word,kutao,kutao.wav,F,nonword,2N,Filler,3
36,F6,zheleo,zheleo.wav,word,zakevao,zakevao.wav,F,nonword,3N,Filler,3
37,F7,znachio,znachio.wav,word,ispatao,ispatao.wav,F,nonword,1N,Filler,3
38,F8,ulafao,ulafao.wav,nonword,gledao,gledao.wav,F,word,2N,Filler,3
39,F9,radovao,radovao.wav,word,trazhio,trazhio.wav,F,word,3N,Filler,3
40,F10,vedio,vedio.wav,nonword,verovao,verovao.wav,F,word,1N,Filler,3
41,F11,hvasao,hvasao.wav,nonword,pruvao,pruvao.wav,F,nonword,2N,Filler,3
42,F12,plasio,plasio.wav,nonword,doshtao,doshtao.wav,F,nonword,3N,Filler,3
43,F13,divao,divao.wav,nonword,pravio,pravio.wav,F,word,1N,Filler,3
44,F14,chekao,chekao.wav,word,nobio,nobio.wav,F,nonword,2N,Filler,3
45,F15,zatvorio,zatvorio.wav,word,pitao,pitao.wav,F,word,3N,Filler,3
46,F16,krenuo,krenuo.wav,word,govorio,govorio.wav,F,word,1N,Filler,3
47,F17,shtinio,shtinio.wav,nonword,zhiveo,zhiveo.wav,F,word,2N,Filler,3
48,F18,kamirao,kamirao.wav,nonword,delorao,delorao.wav,F,nonword,3N,Filler,3
49,F19,davao,davao.wav,word,didnuo,didnuo.wav,F,nonword,1N,Filler,3
50,F20,testipao,testipao.wav,nonword,deshavao,deshavao.wav,F,word,2N,Filler,3
51,F21,raskivuo,raskivuo.wav,nonword,nosio,nosio.wav,F,word,3N,Filler,3
52,F22,gontovao,gontovao.wav,nonword,mokao,mokao.wav,F,nonword,1N,Filler,3
53,F23,menjao,menjao.wav,word,reshio,reshio.wav,F,word,2N,Filler,3
54,F24,zatmorio,zatmorio.wav,nonword,terao,terao.wav,F,word,3N,Filler,3
55,F25,dipao,dipao.wav,nonword,ljuchio,ljuchio.wav,F,nonword,1N,Filler,3
